"yplot.n","n.mn","n.lo","n.up"
2037,120.833841534985,8.40642183898342,187.500202173806
2038,60.5892186994326,4.37739056929923,109.426601073663
2039,29.8951537890966,2.4049819167374,51.2676029420242
2040,18.3914597638142,1.40071104851147,29.6101798378913
2041,11.8233296976979,0.784177523946942,19.5687209461488
2042,7.59256229150562,0.411741452012817,13.0316993631078
2043,4.82168550059873,0.197498547819365,8.5820184472673
2044,3.00947505987525,0.0825249682042636,5.57115898795694
2045,1.83370341190635,0.0255395416319382,3.5597873633596
2046,1.07972964229628,0,2.22248220170109
2047,0.608853429328421,0,1.36164922480717
2048,0.323129637603803,0,0.804442254946122
2049,0.15782163327228,0,0.453824727287781
2050,0.0676285402171038,0,0.240887318852919
2051,0.0239111432736901,0,0.124086031912438
2052,0.00621010987531249,0,0.0560429560877483
2053,0.0011458753352546,0,0.0175012601254345
2054,6.16606827550725e-05,0,0
2055,4.51451576272713e-06,0,0
2056,0,0,0
2057,0,0,0
2058,0,0,0
2059,0,0,0
2060,0,0,0
2061,0,0,0
2062,0,0,0
2063,0,0,0
2064,0,0,0
2065,0,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,0,0,0
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
