"yplot.r","r.mn","r.lo","r.up"
2037,-0.0538494711182657,-0.07722761517979,-0.0255320384976811
2038,-0.0526508780787155,-0.0756888738494256,-0.0254859599262892
2039,-0.0545290505799016,-0.0771799804822726,-0.0257229007052042
2040,-0.0541343870524855,-0.0775845649674235,-0.0259649449001892
2041,-0.0540448447448459,-0.0773626470363745,-0.0253926780014012
2042,-0.0547360069069855,-0.0770870911097176,-0.0258003167077543
2043,-0.0539048225866371,-0.0767172043647677,-0.0255859776616437
2044,-0.054564870184599,-0.0766995270485545,-0.0251556851856011
2045,-0.053395649746611,-0.0769589300390983,-0.024850395521284
2046,-0.0538567356815982,-0.0780390619497075,-0.0256430639149848
2047,-0.0544091371849932,-0.0771761630065451,-0.0252946951739171
2048,-0.0542494153955382,-0.0774616287324831,-0.0256390106222759
2049,-0.0545447085475744,-0.0775717567108546,-0.0253451913913239
2050,-0.053564982290966,-0.0774785464051931,-0.0254898264497507
2051,-0.0545758487482997,-0.077812224392455,-0.0255082131814942
2052,-0.0541349464463462,-0.0770063027476962,-0.0253090681452158
2053,-0.0547436605442553,-0.0784166070879512,-0.0254607124192552
2054,-0.0553383952376476,-0.0776836089862297,-0.0255911859032396
2055,-0.0547693419840219,-0.0778202820782308,-0.0260069716656793
2056,-0.0539545838684737,-0.077120450273918,-0.026059258429773
2057,-0.0553709287214966,-0.0796111187887182,-0.0253286091795007
2058,-0.0546633316885446,-0.0776709014457664,-0.0256565485621143
2059,-0.0538192639698329,-0.0769154969146361,-0.0259265103825188
2060,-0.0536756331540142,-0.0775384588950998,-0.0254658695288342
2061,-0.0542454537203037,-0.0778228569789091,-0.0256314020610119
2062,-0.0557129934784545,-0.0784156697577516,-0.0254853194035431
2063,-0.0551448235656166,-0.0785625353590483,-0.0255087596817879
2064,-0.0550278781065178,-0.0781584872863969,-0.0256833744096573
2065,-0.0543887628986497,-0.0775181945090836,-0.0256615059942653
2066,-0.0555084811075682,-0.0782926876766054,-0.0257068229058878
2067,-0.0555771000920306,-0.0789915536733959,-0.0257174077311686
2068,-0.054454233018747,-0.0774794688077892,-0.0258640958173522
2069,-0.0535107016192257,-0.0772286608050032,-0.0252778056958901
2070,-0.055331541945985,-0.0794197115828372,-0.0258006197494155
2071,-0.0561490082848828,-0.0781274058384042,-0.0256975884703411
2072,-0.0548440529248018,-0.0777326238052189,-0.0257689718908823
2073,-0.0542731241468691,-0.0780023708457126,-0.0258625030946094
2074,-0.0550463507634478,-0.0777357687814264,-0.025829184301764
2075,-0.0543417531089269,-0.0780702142262971,-0.0256372949747434
2076,-0.0544273978230783,-0.0777274703539847,-0.0261638227135408
2077,-0.0547077150463627,-0.07864077540769,-0.02545427802321
2078,-0.0542972480128918,-0.0784888279572959,-0.0256724690649987
2079,-0.0531488169550515,-0.0771386496956981,-0.0254998178279355
2080,-0.0551327237585875,-0.0775260057333202,-0.0253840591939642
2081,-0.054719683899929,-0.0777371374320976,-0.025500565599546
2082,-0.0534009384722686,-0.0770900814698937,-0.0257003618754744
2083,-0.0541369118273655,-0.076889389995604,-0.0257660850109099
2084,-0.0546288566535849,-0.0775967443248595,-0.0253085600555846
2085,-0.0546940300597774,-0.0780127405993716,-0.0255775287080364
2086,-0.0534616213043774,-0.0771615971393265,-0.025483529377119
2087,-0.0542022952571216,-0.0776725448952193,-0.0253595528260958
2088,-0.0560085390026778,-0.0780414696503604,-0.0256619351820958
2089,-0.0552279108052502,-0.0782686184412791,-0.026127295710355
2090,-0.0546726156792822,-0.0772414148841882,-0.0255683859788234
2091,-0.054545782580727,-0.0777582762244528,-0.025713801454247
2092,-0.0533254711795908,-0.0775050902733347,-0.025426353835906
2093,-0.054927404953366,-0.0779526074674916,-0.0256233102105907
2094,-0.0535611085771228,-0.0777838346859409,-0.0253825780295623
2095,-0.0543642331983757,-0.0773898316064028,-0.026071657041422
2096,-0.0538087305586501,-0.0776678009290955,-0.0257783300340831
2097,-0.0539759235032829,-0.0775859088580691,-0.0256675303482396
2098,-0.053505508018354,-0.076918291825773,-0.0255118164693269
